Title,URL,Pub_Date,PoCOrganisation,Format,General classification of dataset type,Topic or theme,classification_and_access_restrictions,Point of contact,Contact Publisher,Publication status
"Soils - a reconnaissance survey of the soils of the Boonah-Beaudesert District, Queensland - ZAV",http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={55DAABFF-E3C6-463F-9425-32EE8E33DA28},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
"Soils - agricultural land resource assessment of Coalstoun Lakes, Queensland - BRCL",http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={2BE2A95F-077A-4C68-A141-08CD1CB18FE5},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - agricultural land suitability of the wet tropical coast - MJA,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={D9A77F70-53F5-4675-B4D3-E55D9D3032A0},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - an assessment of agricultural potential of soils in the Gulf Region - GRIP,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={74054677-9F85-4139-97BD-1E3D0C3A354D},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - Auburn River irrigation suitability study - ARD,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={7808A272-0A3E-4B3F-8A67-AE240615DCA1},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - Beach Protection Authority Mackay - BPA,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={B629A7C8-55A4-4C70-938F-EBEC564EDCFA},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - Burdekin delta soils - BDS,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={FA656341-DC8D-4AE7-A8D6-9A5668ECD6B8},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - Burdekin River Irrigation Area Haughtons central area - HTC,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={8100102F-4163-4E25-A95B-422DED664237},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - Inglewood land management manual - ILM,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={C0B17CB0-C094-45F5-8248-A9ADB0E4F450},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - irrigated land suitability assessment of Haughton section stage 1 - HTS,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={3E9E34E3-6536-44E2-916B-9BD934288CF6},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - irrigated land suitability assessment of Leichhardt Downs relift section BRIA - LDR,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={18D7B2E4-2F3C-4151-B1D7-26F62BE13E78},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
"Soils - irrigation suitability of the Teviot Brook area, Boonah, southeast Queensland - TVB",http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={CC66A1F2-616C-4886-9928-75D39E3FE19F},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - land and agricultural suitability assessment of the Boonah area - BNH,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={42D743A5-AD5E-48D7-9829-9AEBCC330505},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
"Soils - land evaluation of basaltic soils near Pittsworth, eastern Darling Downs - ASA",http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={E6F1BD13-5E6A-43C6-97DD-2DD55BDA6855},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - land inventory of the granite and traprock areas south-east Queensland - GRT SOIL,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={ED96ACFD-2E4B-40AE-89B5-78DD07510E7F},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - land resource assessment Curra to Imbil lowlands-Mary River catchment - MRC,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={AE303CA5-B556-482D-B173-021E5DC55E0C},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
"Soils - land resource assessment of the Goodar area, Queensland - GDR",http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={3097B5E6-3667-41D1-9DD5-AFD21F081D8A},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
"Soils - land resource assessment of the Windyers Hill area, central Queensland - WDH",http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={98A7FEB4-B585-471D-A295-A5DE04E559A4},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - land resource survey and evaluation of the Kilcummin area Queensland - KCM,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={38893F34-3B53-4E22-9BB3-82D32E51BFCB},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - land resources of the Dalrymple Shire - DLR,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={0652DFBD-192F-4E2D-9899-29D350B3DAC1},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - land resources of the Einasleigh-Atherton dry tropics - SAT,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={BDC2036D-AF09-472B-AAEA-13E45739C6CE},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - land resources of the Major Creek area North Queensland - MAJCK,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={DCC6D455-3DE1-449A-83DD-8C54A40A6100},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
"Soils - land resources of the Ravenshoe-Mt Garnet area, north Queensland - RAV",http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={DEE20D89-8A39-4C36-85A3-6600069ABE0A},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
"Soils - land suitability assessment and soil of the Calliope and Yeppoon areas, Queensland - CQH",http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={3ECE333F-32E5-453A-BCB4-7170B867F1DE},11/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - land suitability for irrigated agriculture along the Fitzroy River - LFZ,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={855B70DC-88ED-4261-B21B-ACCD19B4F5A5},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - landscape and suitability study of the Woongoolba-Rocky Point Area - RKP2,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={D732C68C-C256-4B5A-A1BA-9ABA4AD20CA8},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - Mackay sugar cane land suitability study - MCL,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={F9781538-1CD0-4174-98FA-DCE1A0A15229},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - Mareeba Dimbulah irrigation area soil sheets - MDIA,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={6BD71B09-9118-497D-8B05-AA7FB1F23EE2},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
"Soils - Plane Creek sugar cane land suitability study, Queensland - PCS",http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={5B4E948A-88BD-4857-AE81-74E0A6B6406B},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - Sarina soil and land suitability survey - SAR,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={835F7E9F-21F8-4CBE-966A-351B4FB1CB30},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soil and land use survey of part of the Dawson Valley - Central Queensland - DAW,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={723F17C9-2D9F-4220-A8AB-4C0DAC3975C5},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soil associations of Batavia Downs - BAT,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={54212960-3DF9-4A06-BC37-F66667AA1F3C},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soil landscapes of the Cooloola-Noosa river area - ZCNR,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={116A2029-4E1F-4940-97DB-3D5F77459B36},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soil survey of Brigalow research station - BRG,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={12C69FFF-C729-4A89-B64D-B2CBF4C327D1},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soil survey of portion of the Irongate district Darling Downs Queensland - ZBS,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={62E06B09-13CE-4882-9D7A-AFB5A380D765},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soil survey of the Burdekin irrigation area - Jardine section - JFD,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={F361D6B2-128E-47F5-B6A9-34B7E349B688},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soil survey of the Eastern Darling Downs - Warwick area - EDSWK,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={51CCC265-1D73-4227-AA46-DC4FAE7D5B2F},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soil survey of the Eastern Darling Downs - Westbrook-Highfield-Oakey area - EDS,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={D4054F51-90A2-4567-8B84-AC010E3EB2B6},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils and agricultural land suitability of Atherton Tablelands - TAB,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={E23CEFEF-7BE2-4C10-8417-9003DE712214},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils and agricultural land suitability of the wet tropical coast - Ingham Area - WTC,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={AC363012-F8CF-4858-9AEA-027D5271904B},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils and agricultural suitability of the Childers area - CBW,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={E774BBBF-5680-4238-A342-CA0042803BCF},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils and agricultural suitability of the Gundiah-Curra Area - GCL,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={74D34698-D998-41BF-AF14-321AB0A6B783},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils and agricultural suitability of the Maryborough-Hervey Bay area - MHB,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={9C3CB1F8-5E01-43A5-9F32-BAFA6025A150},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils and agricultural suitability of the Maryborough-Tiaro area - MTL,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={F3FB1D57-6D62-4D29-AAB0-58798112A079},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils and irrigated land suitability of the Bundaberg area - BAB,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={BEA76CAD-46C9-494B-80BC-323492C7250B},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils and irrigation potential of Ceratodus area Eidsvold Queensland - CIS,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={426B9477-5419-4EA7-83E1-66869548FD1F},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils and land suitability Albert River - Chardons Bridge - SEQA,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={76F80D7D-5D4A-479C-B748-21AC4D9BE77F},1/01/2001,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils and land suitability of Inkerman West and Central sections - BRIA - INK,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={4966ECB2-E914-4685-B6B1-7622F227F5DC},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils and land suitability of Leichhardt Downs section - north Queensland - NLH,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={B7595129-DEEC-4FB2-AC1C-A35DFE03EDE2},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils and land suitability of Northcote section - Burdekin River Irrigation Area - NHC,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={2638AD60-26D6-4889-B380-4D96872AE5A6},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils and land suitability of the Gavial-Gracemere area - CQG,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={0A7B67DD-C2A4-4999-AB99-753CA7A71178},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils and land suitability of the Haughton section - stage 3 BRIA - HTN,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={64FD50AA-CD48-4A60-AF63-2DED7D423873},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils and land suitability of the Lockyer Valley alluvial plains - LOC,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={DEDB2799-ED92-4341-9C52-5532291F093B},1/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils and land suitability of the Mulgrave section BRIA - MLG,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={E193C5FD-48E9-4415-832E-6817784C1552},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils and land suitability of the Whitsunday Coast Area - WCS,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={93D8CF80-500E-459A-8B4F-0E8B776FDA41},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils and land use in the Beenleigh-Brisbane area - ZAT,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={C32E4277-712B-4F81-9A64-7B9DA898F706},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils in the Toowoomba area Darling Downs Queensland - ZTB,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={B6189255-3850-4F6E-BBF6-D131801835F8},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils of the Babinda - Cairns area - BBC,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={20DF5ACA-7EDE-4353-9B7B-D22F1CE59436},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils of the Banana area central Queensland - BAN,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={693486E0-A89E-4D14-A8C2-5AF867EF8ED3},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils of the Biloela Research Station Queensland - BLS,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={9BFECDB9-78C3-4FF3-9865-9DDF6395ED47},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils of the Brian Pastures Research Station Gayndah Queensland - BPS,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={84E7FF4C-0A0A-492E-917B-87BA1A0C4756},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils of the Burdekin River Irrigation Area - Selkirk section - SLK,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={43DA55D6-ED95-4E63-ABC5-177766246565},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils of the Cape York Peninsula - CYP,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={FE4E065B-51B8-4D85-9400-3FE4F14FE998},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils of the Elliot River - Bowen area - BER,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={68592EE3-308C-4076-A7E0-6DB35BA9F531},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils of the Emerald irrigation area left bank section Central Queensland - EIL,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={53C86219-948C-463B-9262-B8ED85A0A5E3},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils of the Emerald irrigation area right bank section Central Queensland - EIR,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={64D057D0-4B08-4E8B-ADB6-61901039D4F0},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils of the Inglewood - Talwood - Tara - Glenmorgan region - ITTG,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={266A0CA0-E760-469E-B537-B8C283EE72FD},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils of the Kalbar district - KAL,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={8E32E7A7-1196-4E1E-B1DE-10C859323718},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils of the Lower Burdekin River - Barratta Creek Haughton River area - BRL,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={74FFC75E-1B7D-4DE0-B024-CBF9F03287C4},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils of the Lower Burdekin River - Elliot River area - BRB,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={C000064D-742F-4C82-AF15-F9BA6B3606AE},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils of the riparian lands of the Burnett River between Mundubbera and Gayndah - MGR,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={8322B6FA-47EB-448E-A977-B30E5060620E},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - soils of the St George irrigation area - southern Queensland - SGI,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={3688606D-FA89-472C-A1BD-FE319C8A4329},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - sugar cane land suitability assessment - Yellow Gin creek to Elliot river - RBO,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={1AA439EA-3316-4610-B2AF-3A14C9128781},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - the soil landscapes of Brisbane and south-eastern environs - ZAA,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={75D8469A-B0AF-40F3-A934-60052B8D1BE9},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
"Soils - the soils and vegetation of the Mayvale Land System, Gulf of Carpentaria Region - MVL",http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={BAE861C3-F126-49EC-AE62-20B6F2673858},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - the soils of Walkamin Research Station - WRS,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={8363B4AF-9CE7-42C0-A334-320977E30EEA},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - universal soil loss equation - K factor,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={8A72D6B8-2DBD-4538-A2DC-84ACAE66DFCE},18/04/2016,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - universal soil loss equation - L Factor,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={E8A5EBBA-6F81-4419-AB6A-32734EB6646C},18/04/2016,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - universal soil loss equation - R Factor,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={A4330E46-BD75-4148-BF84-476C321DBE7C},18/04/2016,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - universal soil loss equation - S Factor,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={594F3CCD-95AC-447B-86FB-A028E049FE70},18/04/2016,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - universal soil loss equation series,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={3F181365-702E-43FD-B54C-DD93F1A3B2CD},18/04/2016,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - Upper Flinders River irrigation proposal - FLN,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={9AFFA938-59E6-4AC9-8C7F-94A8133DE800},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils - wet tropical coast study - Cardwell-Tully-Innisfail area - CTI,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={A16B4665-A17B-46DB-8399-6335BDF2FEC1},18/02/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils and agricultural suitability of the Winfield-Miara area - WIN,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={09919088-1612-4341-89A0-5F6FA7DB6DA8},21/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
"Soils and Land Resources of Lake Cootharaba Catchment, South East Queensland - NOOP",http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={E1FE3738-EDDF-48D9-93E1-BD700E7ED68A},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
"Soils and Land Suitability of the Kilcoy-Woodford area, South East Queensland - SEQK",http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={01632CEE-1FDC-4411-BD5A-8C9B9C17B433},22/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils of Queensland agricultural research stations series,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={DAD8156A-5246-49D9-A823-7B25181BC89F},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
